isco,isco_title,level
952,Street vendors (excluding food),3
961,Refuse workers,3
962,Other elementary workers,3
1111,Legislators,4
1112,Senior government officials,4
1113,Traditional chiefs and heads of village,4
1114,Senior officials of special-interest organizations,4
1120,Managing directors and chief executives,4
1211,Finance managers,4
1212,Human resource managers,4
1213,Policy and planning managers,4
1219,Business services and administration managers not elsewhere classified,4
1221,Sales and marketing managers,4
1222,Advertising and public relations managers,4
1223,Research and development managers,4
1311,Agricultural and forestry production managers,4
1312,Aquaculture and fisheries production managers,4
1321,Manufacturing managers,4
1322,Mining managers,4
1323,Construction managers,4
1324,"Supply, distribution and related managers",4
1330,Information and communications technology service managers,4
1341,Child care services managers,4
1342,Health services managers,4
1343,Aged care services managers,4
1344,Social welfare managers,4
1345,Education managers,4
1346,Financial and insurance services branch managers,4
1349,Professional services managers not elsewhere classified,4
1411,Hotel managers,4
1412,Restaurant managers,4
1420,Retail and wholesale trade managers,4
1431,"Sports, recreation and cultural centre managers",4
1439,Services managers not elsewhere classified,4
2111,Physicists and astronomers,4
2112,Meteorologists,4
2113,Chemists,4
2114,Geologists and geophysicists,4
2120,"Mathematicians, actuaries and statisticians",4
2131,"Biologists, botanists, zoologists and related professionals",4
2132,"Farming, forestry and fisheries advisers",4
2133,Environmental protection professionals,4
2141,Industrial and production engineers,4
2142,Civil engineers,4
2143,Environmental engineers,4
2144,Mechanical engineers,4
2145,Chemical engineers,4
2146,"Mining engineers, metallurgists and related professionals",4
2149,Engineering professionals not elsewhere classified,4
2151,Electrical engineers,4
2152,Electronics engineers,4
2153,Telecommunications engineers,4
2161,Building architects,4
2162,Landscape architects,4
2163,Product and garment designers,4
2164,Town and traffic planners,4
2165,Cartographers and surveyors,4
2166,Graphic and multimedia designers,4
2211,Generalist medical practitioners,4
2212,Specialist medical practitioners,4
2221,Nursing professionals,4
2222,Midwifery professionals,4
2230,Traditional and complementary medicine professionals,4
2240,Paramedical practitioners,4
2250,Veterinarians,4
2261,Dentists,4
2262,Pharmacists,4
2263,Environmental and occupational health and hygiene professionals,4
2264,Physiotherapists,4
2265,Dieticians and nutritionists,4
2266,Audiologists and speech therapists,4
2267,Optometrists and ophthalmic opticians,4
2269,Health professionals not elsewhere classified,4
2310,University and higher education teachers,4
2320,Vocational education teachers,4
2330,Secondary education teachers,4
2341,Primary school teachers,4
2342,Early childhood educators,4
2351,Education methods specialists,4
2352,Special needs teachers,4
2353,Other language teachers,4
2354,Other music teachers,4
2355,Other arts teachers,4
2356,Information technology trainers,4
2359,Teaching professionals not elsewhere classified,4
2411,Accountants,4
2412,Financial and investment advisers,4
2413,Financial analysts,4
2421,Management and organization analysts,4
2422,Policy administration professionals,4
2423,Personnel and careers professionals,4
2424,Training and staff development professionals,4
2431,Advertising and marketing professionals,4
2432,Public relations professionals,4
2433,Technical and medical sales professionals (excluding ICT),4
2434,Information and communications technology sales professionals,4
2511,Systems analysts,4
2512,Software developers,4
2513,Web and multimedia developers,4
2514,Applications programmers,4
2519,Software and applications developers and analysts not elsewhere classified,4
2521,Database designers and administrators,4
2522,Systems administrators,4
2523,Computer network professionals,4
2529,Database and network professionals not elsewhere classified,4
2611,Lawyers,4
2612,Judges,4
2619,Legal professionals not elsewhere classified,4
2621,Archivists and curators,4
2622,Librarians and related information professionals,4
2631,Economists,4
2632,"Sociologists, anthropologists and related professionals",4
